"Illusion_Type","IES_Mean","IES_SD","RT_Mean","RT_SD","Accuracy_Mean","Accuracy_SD"
"Delboeuf",1001.00020829187,92.073056810672,842.428749980172,198.942023742275,87.5,0.353553390593274
"Ebbinghaus",824.055347190652,66.0572536863421,729.622499988182,206.514135998314,87.5,0.353553390593274
"Mullerlyer",1108.0355555233,0,881.068749935366,200.99893312264,75,0.5
"Ponzo",926.624444416828,0,683.459999971092,27.1046386388521,75,0.5
