"Participant","Age","Sex","Ethnicity","Education","Nationality","Duration","Break_Duration","Device_OS","Screen_Resolution","Screen_Size","Screen_Refresh","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","IPIP6_SD","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism","PID5_SD","Delboeuf","Ebbinghaus","RodFrame","VerticalHorizontal","Zollner","White","MullerLyer","Ponzo","Poggendorff","Contrast","i"
"S48",23,"Female","Caucasian","Bachelor","Italy",71.0927833333333,0.0540333333333333,"Mac OS","1440x686",0.98784,"60.01",78.5,64,43,71,47.5,68.5,24.0849101787674,24,20.4,48,19.6,25,20.6150505043582,0.256233957196441,0.28279241799419,-0.263763387833141,-0.0284193786266657,0.281945405693648,-0.564797141188573,0.738092831726051,-0.225802386932964,-0.0231001580303059,0.942611452671905,0.0569929499052402
"S49",21,"Female","Caucasian","High School","Brazil",64.0749,0.0277166666666667,"Windows 10","1440x809",1.16496,"59.03",52.5,58.5,50,42.5,46.3333333333333,62.75,33.5629488853831,26.8,24.8,59.4,25.2,38.8,27.0294356041241,0.271063522307285,-1.04524065355844,0.0402542391179784,0.513297665556472,0.839053779623691,-0.58601323752945,-0.138309579378323,0.185176781137149,0.709704246713721,-0.231651780810278,0.0444651297311435
"S50",24,"Male","Caucasian","Bachelor","Portugal",45.99495,0.0577666666666667,"Windows 10","1920x902",1.73184,"60.05",74.5,69.25,33,73.75,39,69.25,15.9401673988637,16.2,9.2,20.4,32.2,27.6,12.8153461384771,-0.912391708598249,1.14295944871747,-0.443063126645765,-0.223634000954325,1.47351311685853,-1.52016657245671,0.22518402892162,0.00876397868162246,0.0150551490285224,-0.705110294213881,0.0183588852909191
"S51",33,"Female","Caucasian","High School","Estonia",63.8334333333333,0.0557833333333333,"Windows 10","1354x605",0.81917,"60.48",26,34,43,83.75,51.5,72.5,9.39416407938658,57.8,48.8,49.8,26.8,49.8,24.9297561053789,-0.12760636167817,0.485813364660278,0.556778325000846,0.920529732474345,1.53564225520523,1.34408959045828,0.937638503108869,0.531802239674147,0.315700521618334,2.11793233255762,0.312534540116417
"S52",25,"Male","Caucasian","Master","Italy",48.4376,0.0372333333333333,"Windows 10","1536x739",1.135104,"60",81.25,69.75,33.5,100,72,77,27.5680700977727,20,36.4,19.8,12.8,41.8,37.8037391193094,-1.40678989986409,-1.67553607459782,-0.392785187322471,0.491172542153234,1.45279365791216,-0.533951476166194,-0.550433280646164,-0.0735435341783107,0.0230781776698256,-0.400719324050345,-0.0414791814107884
"S53",43,"Male","Caucasian","Other","USA",54.7482333333333,0.0677333333333333,"Mac OS","1280x614",0.78592,"59.12",46.25,27.75,72.5,64,74.25,63.75,10.8427623534198,56.4,48.2,55.4,34.2,62.8,17.7732055890088,-0.939622792692086,1.14063593768333,-0.258496688232871,0.934813365040777,0.477643154133562,1.58932683965583,0.0972944023057875,-0.900491406048545,0.872661734087785,1.97805817665546,0.162365429381849
"S54",28,"Female","Caucasian","Master","Portugal",35.92975,0.100533333333333,"Windows 10","1280x577",0.73856,"60.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39190823101273,-1.48696291249177,0.222234222455831,-0.108575160188229,0.0153723422184884,-1.0901647775783,-0.932851832144798,-0.102858375340471,0.684488423175264,0.21418556764293,-0.13666317599687
"S55",22,"Female","Latino","High School","Mexico",79.9631166666667,0.0832833333333333,"Windows 10","1366x657",0.897462,"61.24",44.75,75.75,56.5,81.75,12.25,76,16.7547549949624,9.6,21.2,35.4,19.6,33.2,27.3873200191405,1.45062555689065,1.18159807574781,0.555862723407439,0.236570930721755,0.406257374891292,0.536675430375228,0.0549582281977037,-0.151074503624775,1.16286165045071,0.70739910562967,0.121685984371359
"S56",27,"Male","Caucasian","High School","Poland",44.9262166666667,0.0349,"Windows 7","1920x955",1.8336,"57.8",16.5,6.25,86.25,89.5,24,18.25,13.9530870521119,45.8,74.6,47.8,44,84.4,23.4181779313451,1.7760650277289,0.35587527029673,0.881256914029131,0.587243386457126,1.45732562423716,0.425643333435831,0.186604956416416,0.907518159156484,2.02297057417213,1.3602694804657,0.250728346605607
"S57",28,"Male","Caucasian","High School","Poland",63.5905666666667,0.08575,"Windows 10","1879x970",1.82263,"75.96",3.75,42.5,36.75,85.5,29.75,79.25,16.1404802883309,25.4,73.8,15.2,14,25,17.5934645002745,-0.670265961640191,-0.935599244057008,0.0505514661857708,0.761583238948616,1.52422861098256,-0.951281167892486,0.0741335996387349,0.258561954125884,0.929427120621673,1.22438035518855,0.12366305954049
"S58",21,"Male","Caucasian","Other","Poland",44.67085,0.0369166666666667,"Windows 10","1920x969",1.86048,"60.04",61.75,62.75,54.25,40.25,48.75,36.75,14.9231684117052,58,48.2,52.2,59.8,45.8,12.7733061546592,0.334837716746538,0.597863940433801,0.0114990943284285,-0.137902822476914,0.407335743652631,-0.333763593992949,-0.189995008814185,0.0302757822956394,0.198847303455878,0.745434986789776,0.00900025340439838
"S59",31,"Female","Other","Bachelor","Mexico",42.80465,0.0484833333333333,"Mac OS","2560x1237",3.16672,"59.62",52,68.25,57.5,93.75,30.25,59.25,18.6970528389238,40,39.8,58.4,15.8,83.2,22.6865771936807,0.717812880882886,-0.210812571027554,-0.973980151106672,-0.591308402637145,-1.49845470948093,-1.15375208487641,-0.317102646504775,-0.356029508416914,-0.26627188372779,0.787224590803582,-0.172484630353038
"S60",47,"Male","Caucasian","High School","South Africa",56.6279,0.0620666666666667,"Windows 10","1920x975",1.872,"74.97",73.25,39,43,42.5,78,81,20.1550773274305,51.4,33.2,8.8,37.2,31.4,14.0744083095865,-0.328461614737797,0.927754720675989,0.53567994497961,0.229669740763298,1.19028515688024,-0.681240484212295,0.486584755477418,0.517393875338939,0.238285378464076,-1.02903587612052,0.138142135563642
"S61",22,"Male","Caucasian","Bachelor","Poland",55.1265166666667,0.03535,"Windows 10","1920x947",1.81824,"75.57",53,50.5,50.5,57.5,37.75,58.75,9.55604838971553,31.8,25.4,38,30,35.4,6.79079834939304,-1.96578244064823,-0.0530482455674506,1.40170874497343,0.586760497894728,1.96155671623551,1.49261788826143,0.136515001194808,0.874806896908373,1.14880800904003,0.0558615161150118,0.215353540661218
"S62",19,"Male","Caucasian","High School","Italy",41.2827666666667,0.0302666666666667,"Windows 10","1536x746",1.145856,"60.46",50.5,49.25,92.25,65.25,58.75,98.75,14.9629656089291,60.4,30.8,72.8,27.4,51.6,20.606405556416,-0.686865997213728,-1.56008092852359,-0.430343960858812,-1.50942446581124,-1.89303348077177,-1.12550897874194,-2.02689777848246,-1.82882655340193,0.26401796450259,-0.892870187203758,-0.554026825450492
"S63",34,"Male","Caucasian","Bachelor","Greece",51.1645833333333,0.115366666666667,"Windows 10","1280x891",1.14048,"60.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0282129905156514,1.22126456563382,0.318366551143377,0.759286312672585,2.08985256292754,-0.300033644594993,1.10692029307444,0.355209083605142,0.942582349332246,-1.02392615336116,0.278875339137479
"S64",25,"Male","Caucasian","Master","Greece",49.79485,0.0944,"Mac OS","1440x703",1.01232,"60.35",17.25,84.75,6.75,41.5,65.25,52.25,19.7025444319818,16,37.2,21.8,18.2,3.8,21.6510381035923,-0.816633885412365,0.0695050148320825,-0.444657334985338,0.0135319521566674,0.278415788049667,-0.382205762417973,0.100554798300314,0.369233871542047,-0.454724109035489,-0.704314126160515,0.00409660886373739
"S65",24,"Male","Caucasian","Bachelor","Portugal",38.5830333333333,0.0777333333333333,"Windows 10","1707x948",1.618236,"59.96",57,30.25,35.5,53.5,48,62,13.2225870749359,26.8,42.2,43.6,24.6,24,10.4442283816816,-0.492716661110223,-1.51847592535727,0.619678827508199,-0.467481866245535,-1.07821251598003,-0.760889168194896,0.00124386442109098,-0.211419462892448,-1.34844712290881,-0.246382565940851,-0.159488718111538
"S66",21,"Female","Caucasian","Bachelor","Portugal",48.0458666666667,0.0312,"Windows 10","1366x656",0.896096,"60.48",56.5,76,44.75,93,52.25,87.75,17.3279869395531,18.4,24,49.2,8.8,16.2,21.619232421686,0.741912859657224,0.0414186623023288,0.00364240994262993,0.304614858528983,0.086647161381989,0.955086161763522,0.194293057024046,0.40321237021306,0.93113985122941,-0.387921132110376,0.0989909764337079
"S67",21,"Male","Caucasian","High School","Portugal",55.8224666666667,0.0646666666666667,"Windows 10","1920x919",1.76448,"75",61.75,51,54.25,67.5,12.5,93.75,17.7463312464047,46,35.4,75.6,10.6,55.4,23.1900406323817,0.0134136187245332,0.258579936305823,0.464035314559455,0.287258889161121,1.46574099396447,1.49846910992847,-0.118770342184188,0.724163403140771,0.993689557909123,-0.196398297478778,0.13922898951007
"S69",42,"Male","Caucasian","Master","Estonia",48.5095833333333,0.0244833333333333,"Windows 10","1536x746",1.145856,"60.27",38.25,61.5,51.25,61.75,51.75,50.25,8.70548188288686,35.2,42.8,40.6,43.4,43.2,4.53259045771107,0.961757001166661,-0.217761464911975,-0.376795333408856,-0.132452032168517,-0.467282191008632,-0.675207325334084,0.266787637218573,0.0258027019811692,-1.17395743631992,1.42482949080582,-0.0192170136827967
"S70",21,"Male","Caucasian","Bachelor","UK",57.57915,0.0179166666666667,"Windows 10","2560x1321",3.38176,"145.1",67.25,73.5,29,67.75,42.75,64,14.8703736655014,40.4,31.2,28.4,20.2,24.6,11.782138972844,-0.815877116950041,-0.906385398105387,-0.690345354896744,-0.872916195671082,-1.23745331983099,-0.444096669015707,-0.913506800772153,-0.633906121276405,-2.10875655160181,-0.0403854799061968,-0.315522604084128
"S71",19,"Male","Caucasian","High School","Portugal",70.0834166666667,0.0754833333333333,"Windows 10","1920x969",1.86048,"144.27",29,47.25,53.5,86.75,48.25,79.75,9.7328715953844,34.4,17.6,50.6,35.6,67.8,14.5011385561896,0.185360461683503,-0.702598964102105,-0.393593039858795,0.797200157535675,0.611684630390509,-0.424212090990454,0.463039890222343,0.453759539229136,0.288783039953124,-0.326877670351226,0.131158708948448
"S72",32,"Female","Caucasian","Doctorate","Portugal",43.4041166666667,0.0463666666666667,"Windows 10","1920x937",1.79904,"60.68",66.75,71.75,64.5,75.25,27.25,82.25,12.8577777932627,21,33.4,48.8,24.2,43.6,16.1845172342031,0.0561749561710891,0.0387306927388021,0.0942859326607775,-0.072453977645475,0.243286005212088,-0.647811411587409,-0.345482516945704,0.0812892228970855,0.126889632020487,-1.19570569641251,-0.0430414281576458
"S73",22,"Male","Caucasian","Doctorate","Poland",38.9306666666667,0.0247666666666667,"Windows 10","1879x939",1.764381,"75.21",26.5,24,65,20,15.75,38.25,25.5078062862138,66.6,54.8,86.8,69,85.6,17.1704694704566,-0.942617447432073,-1.52137467893693,0.0837838496886669,-0.544437420698764,-0.987520028584235,0.145926210823065,-0.75080317155916,-0.285507453150999,-1.33010464707935,-3.15007701651849,-0.267497005660939
"S74",25,"Female","Latino","Bachelor","Chile",51.04875,3.25433333333333,"Windows 10","1366x649",0.886534,"60.06",55,60.75,59.5,71.25,52,86.25,19.0048040369921,0,56,43.2,4.6,27.6,11.5058558675187,0.716843210807123,0.931591173702866,0.65379493905337,0.446124959351955,1.48909457527336,1.43430726406874,0.0369519772489776,0.0611374104097812,-0.0210216150750718,1.93955716573785,0.176309114547258
"S75",22,"Male","Caucasian","High School","Portugal",46.8766666666667,0.058,"Windows 10","1920x969",1.86048,"60.02",0,91.5,30.5,35.5,100,52.75,22.6214892186265,0,13.8,0,0,12.4,11.7169962020989,-0.023256651948187,-0.226794936798308,0.424974689018183,-0.0689995484019089,-0.563992491753309,-0.899511715622005,-0.268475974858626,0.00750406367308282,-0.85948075493503,-0.621151439735548,-0.0687409871951895
"S76",27,"Female","Latino","Bachelor","Mexico",60.75625,0.0495666666666667,"Windows 10","1536x714",1.096704,"60.19",69.75,47.5,34.25,68.75,30,71.75,8.39797568461745,46.6,44.2,54,44,52.6,16.4523684308542,0.955238824724211,-1.17848504010754,-0.0403569971325842,-0.552693527341687,-0.897042842814451,-0.0573581318086197,-0.499105043334857,-0.559368968700092,-1.07376690050627,0.798958431766949,-0.192330846216727
"S77",25,"Female","Latino","Bachelor","Mexico",56.1003833333333,0.03935,"Windows 10","1366x663",0.905658,"60.81",81,46,71.5,52,10,72.25,26.2238131820063,46.6,45.8,99.2,49.8,60,27.931339548727,0.576564757046692,-0.0861640031804821,-0.142648405234246,-0.0624565558690637,-2.23244453295653,0.652329034867327,0.303936372128393,-0.0373785057176528,0.933365560071553,1.74337297667171,0.010347855057554
"S78",23,"Male","Latino","High School","Mexico",52.2526166666667,0.0317833333333333,"Mac OS","1440x789",1.13616,"52.83",16.75,24,75.25,75.5,27.5,69,19.5332462871801,61,72.6,69,27.6,57.6,26.1542261839135,0.60874241658194,0.372994596647269,-0.133936124333386,0.208459416241925,0.783925931189091,1.22236805238554,0.482155348485348,0.159554004206763,-0.659637889979873,-0.105165232629063,0.101600757094332
"S79",22,"Female","African","Bachelor","South Africa",62.0350166666667,0.05935,"Mac OS","1440x820",1.1808,"31.58",33.25,73.25,91.5,86.25,74.75,77.75,18.0566169356174,55,41.8,75.2,25,62.8,35.4092481096553,0.120518372105919,0.942963484402781,0.87230790367283,0.0716089390083566,0.671028137823058,-0.953951764241649,0.109640133161394,0.289137650316362,0.59376555941999,-0.0263751849603378,0.0923161626312954
"S80",20,"Male","Caucasian","High School","Poland",52.85775,0.0474,"Windows 10","1536x754",1.158144,"144.33",68.25,37.25,62.25,49,73,66.25,22.0982245792738,20.6,40.2,34,15.8,23,16.2103314347981,-0.284295175029249,-0.922277600467761,-0.21729116643717,0.142942889629207,1.14895521882288,1.6180285686772,-0.289320310924661,0.288477768399966,0.639528543931938,0.31837547139317,0.027629268341354
"S81",23,"Female","African","Bachelor","South Africa",63.5925666666667,0.0416166666666667,"Windows 10","1366x657",0.897462,"53.53",58,69,52.75,55,48.25,68.5,12.2314067802315,20.8,27.6,44.4,26.4,17.2,10.6132531540482,0.0557039113513487,0.190461661595898,0.0114990943284293,-0.336648192977307,1.06585144923232,-0.114958142517177,0.0494992110030495,-0.1589360942987,0.964622192873031,-0.106944039674605,-0.00604676315085723
"S82",26,"Male","Latino","Bachelor","Chile",65.0395,0.0391333333333333,"Windows 10","1920x941",1.80672,"60.16",44.5,63.5,38.25,76.5,70.5,82.25,16.1821942191893,51.2,24.8,49.8,26.2,54.8,21.8614511912179,0.264745183061091,0.661612175065998,0.952209402723037,0.351908807880423,-2.63510376033422,0.355854537540582,0.083532978516287,0.293648158710652,1.64978731812591,-0.00172423807268119,0.0827337694090245
"S83",22,"Male","Latino","High School","Mexico",123.542,0.0182333333333333,"Windows 10","1920x937",1.79904,"116.05",52.75,37,55.5,89.5,51.75,72.5,10.6569975695216,39.4,14,34,9.8,18.2,11.609201869364,-1.01247191840431,-1.48058835951877,0.109144156083328,0.122499912409323,-1.12075718049518,0.00609783799022761,0.299956685424004,-0.772477627652165,1.51436526898414,1.66149505406339,-0.0359751659448953
"S84",33,"Male","Latino","Bachelor","Mexico",57.9417,2.84425,"Windows 10","1280x689",0.88192,"60.17",88.25,99,1.5,98.25,4.75,96,5.95637476214667,0,2.8,13.8,20.4,2,12.6521604148922,-0.632787535797544,0.559462443167502,0.304022126180203,-0.00306356802961732,0.991381009039836,0.107528488398775,0.123127451344093,0.136719099216098,0.378042794476473,1.15305543060969,0.0782415395262778
"S85",24,"Female","Caucasian","Bachelor","Italy",48.906,0.02645,"Mac OS","1440x789",1.13616,"60.22",20.75,32.75,34.75,51.25,64.5,74.75,13.8873541385089,14.8,38.2,51,34.4,56,20.6415721547981,-0.228584145331807,-0.0962333624657803,0.104457072100443,0.208082309816879,-0.290454433967325,-1.37531229756079,0.303570436364216,-0.0152502693367668,1.69757418397794,0.0521048600105618,0.0482681560190064
"S86",34,"Male","Caucasian","Bachelor","UK",37.4078666666667,0.0247333333333333,"Windows 10","1536x722",1.108992,"60.09",40.5,60,64.25,57.75,55.3333333333333,47.25,16.7950146029519,31,40.8,39.8,31,37.2,13.2082175839508,0.859366324987452,-0.440250494717075,-0.967536439023304,0.262895611929813,-0.613301880196439,0.144016122096265,0.116663618801905,0.256311236513946,0.278496144457564,2.08471955365765,0.044290692002478
"S87",22,"Female","Caucasian","Bachelor","Spain",40.1532166666667,0.0279166666666667,"Windows 10","1707x868",1.481676,"41.59",35.25,40.5,35.25,56.5,49.25,52,22.6661765027395,39,32.4,50.4,23.8,45.4,21.6817497407032,-0.0833934223217822,-1.21494171265493,-0.495278425862334,-0.257545981428773,-0.318247747447887,-0.702670268579604,-1.08202339473024,-0.0762473052399938,-0.0570754353161058,0.642973186751162,-0.175199732171566
